time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447150000	19.1952	8.0718	5.04019	1.13575	0.476214	radar	0.538451	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2788	8.28118	5.01817	1.16392	0.485246	lidar	2.25864	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.374	8.50352	5.01193	1.1761	0.448172	radar	2.71853	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4755	8.66515	4.96038	1.18222	0.433667	lidar	7.49604	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5561	8.89283	4.95441	1.2156	0.465202	radar	0.988362	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7305	9.05693	4.92766	1.18784	0.400457	lidar	6.16687	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.79	9.29647	4.92556	1.238	0.471858	radar	0.967719	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9321	9.49699	4.9172	1.22811	0.427664	lidar	3.01933	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9609	9.7411	4.91108	1.297	0.538496	radar	2.73383	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0563	9.95713	4.90229	1.30663	0.516326	lidar	0.747203	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.113	10.2056	4.91118	1.32457	0.482084	radar	6.43437	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1675	10.4484	4.91418	1.35023	0.483724	lidar	0.0224377	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1738	10.6952	4.91	1.41063	0.563789	radar	2.70509	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2387	10.9401	4.91718	1.42607	0.546058	lidar	1.18056	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2675	11.1926	4.92423	1.44618	0.516194	radar	4.60292	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.304	11.422	4.91327	1.467	0.511577	lidar	0.302169	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2404	11.6759	4.91052	1.56505	0.676543	radar	9.56629	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3143	11.9064	4.90607	1.56484	0.634009	lidar	5.05083	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3431	12.1455	4.90151	1.5492	0.502902	radar	4.53796	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3369	12.4067	4.91458	1.57805	0.505178	lidar	0.434259	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2819	12.648	4.91037	1.65005	0.619278	radar	2.83172	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3073	12.8834	4.90399	1.6605	0.594809	lidar	2.02919	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2925	13.121	4.89899	1.68567	0.58972	radar	2.23657	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2536	13.3383	4.87816	1.71909	0.598249	lidar	1.64312	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2138	13.5769	4.8757	1.73856	0.562068	radar	1.49843	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.1985	13.8224	4.87881	1.75452	0.546623	lidar	1.08623	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1389	14.0543	4.87471	1.79442	0.578977	radar	0.884258	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0883	14.2963	4.87846	1.82018	0.574427	lidar	0.142893	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0151	14.5274	4.87586	1.8489	0.565215	radar	1.46683	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9128	14.7654	4.88444	1.88942	0.578812	lidar	0.9645	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.844	14.9901	4.87598	1.89928	0.522029	radar	3.58537	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8121	15.2138	4.86199	1.90685	0.501802	lidar	2.40251	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6746	15.4218	4.8625	2.00763	0.712447	radar	7.20565	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6342	15.6245	4.8347	2.02027	0.688891	lidar	4.54868	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5372	15.8382	4.82856	2.04003	0.647857	radar	1.75536	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4342	16.0454	4.82113	2.0699	0.646082	lidar	0.156681	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3305	16.2607	4.81754	2.07332	0.560122	radar	2.18487	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2174	16.4425	4.79445	2.10431	0.567573	lidar	1.52614	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.0943	16.6443	4.7921	2.13358	0.571249	radar	0.377498	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9707	16.844	4.7889	2.15989	0.569024	lidar	0.0577187	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.813	17.0315	4.7955	2.2323	0.70055	radar	5.71568	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6542	17.2412	4.81606	2.26501	0.694476	lidar	1.12589	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5485	17.4564	4.80867	2.22488	0.489246	radar	6.47632	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3487	17.6315	4.82071	2.26902	0.51106	lidar	3.58288	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2093	17.8261	4.81753	2.26283	0.419738	radar	1.79517	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0802	18.0156	4.80936	2.27418	0.409238	lidar	0.942444	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
